FISCAL_YEAR,VENDOR_NAME,EXP_ACCT_CAT_DESC,AMOUNT
2022,CINTI YOUTH COLLABORATIVE,Grants & Subsidies,86000
2021,"GROUNDWORK OHIO RIVER VALLEY, INC.",Grants & Subsidies,28318.42
2016,URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Grants & Subsidies,593852.59
2017,OVER THE RHINE COMMUNITY HOUSING,Grants & Subsidies,137083
2019,IKRON CORP,Grants & Subsidies,122109.12
2014,NORTHERN KY INDP DIST HLTH DPT,Grants & Subsidies,85720
2020,HOUSING OPPORTUNITIES MADE,Grants & Subsidies,107350.52
2016,OVER THE RHINE COMMUNITY HOUSING,Grants & Subsidies,333631
2022,MT. WASHINGTON COMMUNITY DEVELOPMENT CORPORATION,Grants & Subsidies,5000
2019,GREATER CINCINNATI MICROENTERPRISE INITIATIVE INC,Grants & Subsidies,98528
2022,CITY GOSPEL MISSION,Grants & Subsidies,35850
2021,THE CENTER FOR CLOSING THE HEALTH GAP IN GREATER CINCINNATI,Grants & Subsidies,432262.35
2021,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,1409890.29
2018,NATIONAL UNDERGROUND RAILROAD FREEDOM CENTER,Grants & Subsidies,15098.33
2021,GLAD HOUSE INC,Grants & Subsidies,21905.74
2015,CINTI-HAM CTY COMM ACTION AGCY,Grants & Subsidies,173018.6
2021,ROSELAWN BUSINESS ALLIANCE,Grants & Subsidies,4163.6
2015,URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Grants & Subsidies,481566.67
2017,HOUSING OPPORTUNITIES MADE,Grants & Subsidies,82065.15
2015,"GREAT TRADITIONS DEVELOPMENT GROUP, INC.",Grants & Subsidies,65523.26
2021,HOMEBASE,Grants & Subsidies,481704.71
2018,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,260190.84
2019,"LIGHTHOUSE COMMUNITY SCHOOL, INC",Grants & Subsidies,726.43
2015,HOUSING OPPORTUNITIES MADE,Grants & Subsidies,195671.32
2020,IKRON CORP,Grants & Subsidies,152280
2016,MERCY NEIGHBORHOOD MINISTRIES INC,Grants & Subsidies,69000
2020,ART OPPORTUNITIES INC,Grants & Subsidies,145695.79
2014,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,180453.46
2015,CENTER FOR RESPITE CARE INC,Grants & Subsidies,16942.12
2022,ART OPPORTUNITIES INC,Grants & Subsidies,85372
2016,IKRON CORP,Grants & Subsidies,120045
2017,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,161943.96
2014,HOUSING OPPORTUNITIES MADE,Grants & Subsidies,193181.91
2021,CINCY SMILES FOUNDATION,Grants & Subsidies,52673.3
2020,COMMUNITY DEVELOPMENT CORPORATIONS ASSOCIATION OF GREATER CI,Grants & Subsidies,105672.86
2022,DOWNTOWN CINCINNATI INC,Grants & Subsidies,75000
2021,TALBERT SERVICES INC.,Grants & Subsidies,72673.01
2021,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,361868.32
2022,HOUSING OPPORTUNITIES MADE,Grants & Subsidies,10748.3
2017,EASTER SEALS TRISTATE LLC,Grants & Subsidies,42500
2017,MERCY NEIGHBORHOOD MINISTRIES INC,Grants & Subsidies,114000
2021,CORPORATION FIN MKT CINTI(THE),Grants & Subsidies,96346.06
2020,HAMILTON COUNTY LAND REUTILIZATION CORPORATION,Grants & Subsidies,150000
2021,CITY GOSPEL MISSION,Grants & Subsidies,84150
2022,DRESS FOR SUCCESS CINTI,Grants & Subsidies,40000
2022,CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Grants & Subsidies,97523.68
2020,ROSELAWN COMMUNITY URBAN REDEVELOPMENT CORPORATION,Grants & Subsidies,20700
2019,CORPORATION FIN MKT CINTI(THE),Grants & Subsidies,118294.8
2021,CENTER FOR ADDICTION TREATMENT,Grants & Subsidies,40313.69
2017,GROUNDWORK CINCINNATI/MILL CREEK,Grants & Subsidies,29714.9
2018,CORPORATION FIN MKT CINTI(THE),Grants & Subsidies,160530.85
2022,CORPORATION FIN MKT CINTI(THE),Grants & Subsidies,34903.91
2021,CENTER FOR RESPITE CARE INC,Grants & Subsidies,23333.33
2020,MT. WASHINGTON COMMUNITY DEVELOPMENT CORPORATION,Grants & Subsidies,23500
2017,URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Grants & Subsidies,428070.57
2017,NATIONAL UNDERGROUND RAILROAD FREEDOM CENTER,Grants & Subsidies,284837.8
2020,OVER-THE-RHINE MUSEUM,Grants & Subsidies,75000
2020,"BOND HILL ROSELAWN SENIOR HOUSING, LP",Grants & Subsidies,25000
2022,THE CENTER FOR CLOSING THE HEALTH GAP IN GREATER CINCINNATI,Grants & Subsidies,233845.89
2021,OTR HOLDINGS INC,Grants & Subsidies,1995468.23
2020,"STRATEGIES TO END HOMELESSNESS, INC.",Grants & Subsidies,1797007.71
2021,WOMEN HELPING WOMEN,Grants & Subsidies,44201.91
2018,HOUSING OPPORTUNITIES MADE,Grants & Subsidies,174703
2016,HOUSING OPPORTUNITIES MADE,Grants & Subsidies,153025.35
2016,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,240155.51
2020,CINTI YOUTH COLLABORATIVE,Grants & Subsidies,83040.79
2016,"STRATEGIES TO END HOMELESSNESS, INC.",Grants & Subsidies,6774633.94
2021,SANTA MARIA COMMUNITY SERVICES,Grants & Subsidies,39407.78
2018,GROUNDWORK CINCINNATI/MILL CREEK,Grants & Subsidies,5419.55
2021,CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Grants & Subsidies,6518.39
2020,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,304401.58
2018,ART OPPORTUNITIES INC,Grants & Subsidies,120049.89
2018,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,1526183.55
2021,CINTI UNION BETHEL,Grants & Subsidies,42000
2020,PER SCHOLAS,Grants & Subsidies,8807
2019,ART OPPORTUNITIES INC,Grants & Subsidies,156893
2016,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,1620994.35
2022,"CINCINNATI WORKS, INC.",Grants & Subsidies,81667.48
2016,FREESTORE/FOODBANK INC,Grants & Subsidies,168750.06
2014,CENTER FOR RESPITE CARE INC,Grants & Subsidies,36783.12
2021,MADISONVILLE EDUCATION & ASSIS,Grants & Subsidies,40000
2019,ENRIGHT RIDGE URBAN ECOVILLAGE,Grants & Subsidies,2160
2014,ART OPPORTUNITIES INC,Grants & Subsidies,120000
2018,THE JUBILEE PROJECT LTD,Grants & Subsidies,2064.8
2018,VERDURE LANDSCAPING LLC,Grants & Subsidies,1965
2016,TENDER MERCIES INC,Grants & Subsidies,48121
2015,NORTHERN KY INDP DIST HLTH DPT,Grants & Subsidies,72213.09
2014,URBAN LEAGUE OF GREATER CINTI,Grants & Subsidies,169333.33
2017,IKRON CORP,Grants & Subsidies,113400
2014,"GREAT TRADITIONS DEVELOPMENT GROUP, INC.",Grants & Subsidies,230899.67
2018,TURNER FARM INC.,Grants & Subsidies,5400
2020,CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Grants & Subsidies,199428.65
2019,COMMUNITY DEVELOPMENT CORPORATIONS ASSOCIATION OF GREATER CI,Grants & Subsidies,471054.09
2022,PLEASANT RIDGE DEVELOPMENT CORPORATION,Grants & Subsidies,89388
2022,COMPREHENSIVE COMM CHILD CARE,Grants & Subsidies,10000
2020,MERCY NEIGHBORHOOD MINISTRIES INC,Grants & Subsidies,102000
2018,URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Grants & Subsidies,542150.04
2015,CARACOLE INC,Grants & Subsidies,321026.14
2020,CARTHAGE CIVIC LEAGUE INC,Grants & Subsidies,5900
2014,CARACOLE INC,Grants & Subsidies,444819.38
2015,TENDER MERCIES INC,Grants & Subsidies,30110
2016,COMMUNITY DEVELOPMENT CORPORATIONS ASSOCIATION OF GREATER CI,Grants & Subsidies,426019.37
2018,IKRON CORP,Grants & Subsidies,130052.88
2018,FREESTORE/FOODBANK INC,Grants & Subsidies,187500.09
2022,PER SCHOLAS,Grants & Subsidies,85768.82
2014,URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Grants & Subsidies,155100
2021,MERCY NEIGHBORHOOD MINISTRIES INC,Grants & Subsidies,162702.4
2018,MERCY NEIGHBORHOOD MINISTRIES INC,Grants & Subsidies,57000
2022,"STRATEGIES TO END HOMELESSNESS, INC.",Grants & Subsidies,1034815.8
2019,GROUNDWORK CINCINNATI/MILL CREEK,Grants & Subsidies,13691.5
2018,"CINCINNATI WORKS, INC.",Grants & Subsidies,267391.2
2020,"GROUNDWORK OHIO RIVER VALLEY, INC.",Grants & Subsidies,25376.96
2020,WORKING IN NEIGHBORHOODS,Grants & Subsidies,12862.71
2019,MILL CREEK ALLIANCE,Grants & Subsidies,48577.43
2020,URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Grants & Subsidies,150900
2022,"OPPORTUNITY MATTERS, INC.",Grants & Subsidies,40000
2014,CINTI-HAM CTY COMM ACTION AGCY,Grants & Subsidies,387600.9
2022,GREATER CINCINNATI BEHAVIORAL HEALTH SERVICES,Grants & Subsidies,65000
2015,HADDON HALL SENIOR APARTMENTS LLC,Grants & Subsidies,20000
2020,GREATER CINCINNATI MICROENTERPRISE INITIATIVE INC,Grants & Subsidies,69873.12
2022,MERCY NEIGHBORHOOD MINISTRIES INC,Grants & Subsidies,68319.77
2022,FREESTORE/FOODBANK INC,Grants & Subsidies,267113.16
2018,"LIGHTHOUSE COMMUNITY SCHOOL, INC",Grants & Subsidies,7373.57
2021,"CENTER FOR EMPLOYMENT OPPORTUNITIES, INC",Grants & Subsidies,33894.47
2016,TALBERT SERVICES INC.,Grants & Subsidies,15803
2018,WALNUT HILLS REDEVELOPMENT,Grants & Subsidies,5480
2022,OTR HOLDINGS INC,Grants & Subsidies,1287679.14
2017,TENDER MERCIES INC,Grants & Subsidies,21698
2018,CINTI HABITAT FOR HUMANITY,Grants & Subsidies,102500
2015,OVER THE RHINE COMMUNITY HOUSING,Grants & Subsidies,30019
2019,"BOND HILL ROSELAWN SENIOR HOUSING, LP",Grants & Subsidies,475000
2021,TENDER MERCIES INC,Grants & Subsidies,20419.08
2019,URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Grants & Subsidies,437903.4
2019,CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Grants & Subsidies,370240.72
2020,"CINCINNATI WORKS, INC.",Grants & Subsidies,182812.29
2021,UNITED WAY OF GREATER CINTI,Grants & Subsidies,48825.48
2019,EASTER SEALS TRISTATE LLC,Grants & Subsidies,35000
2017,CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Grants & Subsidies,307601
2017,FREESTORE/FOODBANK INC,Grants & Subsidies,222321.52
2021,ADDICTION SERVICES COUNCIL,Grants & Subsidies,26294.08
2022,ADDICTION SERVICES COUNCIL,Grants & Subsidies,4560.25
2022,MILL CREEK ALLIANCE,Grants & Subsidies,18097.96
2017,"STRATEGIES TO END HOMELESSNESS, INC.",Grants & Subsidies,1659881.09
2021,THE CHILDREN'S PROTECTIVE SERVICE,Grants & Subsidies,54018.36
2022,"CENTER FOR EMPLOYMENT OPPORTUNITIES, INC",Grants & Subsidies,6105.53
2017,CORPORATION FIN MKT CINTI(THE),Grants & Subsidies,173285.93
2017,"CINCINNATI WORKS, INC.",Grants & Subsidies,300000
2022,UNITED WAY OF GREATER CINTI,Grants & Subsidies,33358.15
2022,WILLKOMMEN ZUHAUSE LLC,Grants & Subsidies,603000
2022,IKRON CORP,Grants & Subsidies,250453
2022,URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Grants & Subsidies,282344.06
2021,NEIGHBORHOOD ALLIES,Grants & Subsidies,28800
2018,EASTER SEALS TRISTATE LLC,Grants & Subsidies,32500
2016,"CINCINNATI WORKS, INC.",Grants & Subsidies,162806.43
2019,FREESTORE/FOODBANK INC,Grants & Subsidies,223214.13
2022,CINTI UNION BETHEL,Grants & Subsidies,38000
2020,CINTI HABITAT FOR HUMANITY,Grants & Subsidies,4750
2016,"GREAT TRADITIONS DEVELOPMENT GROUP, INC.",Grants & Subsidies,13075.81
2021,"CINCINNATI WORKS, INC.",Grants & Subsidies,423738.91
2018,"STRATEGIES TO END HOMELESSNESS, INC.",Grants & Subsidies,1712192.41
2017,ART OPPORTUNITIES INC,Grants & Subsidies,120000
2022,OVER THE RHINE COMMUNITY HOUSING,Grants & Subsidies,329600.2
2021,BLOC MINISTRIES INC,Grants & Subsidies,250000
2016,CORPORATION FIN MKT CINTI(THE),Grants & Subsidies,142131.07
2022,TENDER MERCIES INC,Grants & Subsidies,19580.92
2020,SHELTERHOUSE VOLUNTEER GROUP,Grants & Subsidies,148739.47
2019,BOARD OF EDUCATION,Grants & Subsidies,822
2014,ALSTON PARK LIMITED PARTNERSHIP,Grants & Subsidies,137378
2021,FREESTORE/FOODBANK INC,Grants & Subsidies,191263.94
2016,CINTI-HAM CTY COMM ACTION AGCY,Grants & Subsidies,236556.48
2019,COLLEGE HILL COM URB REDE CORP,Grants & Subsidies,449700
2018,CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Grants & Subsidies,268256
2022,CENTER FOR ADDICTION TREATMENT,Grants & Subsidies,96037.85
2020,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,323685.45
2016,CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Grants & Subsidies,111378
2022,WOMEN HELPING WOMEN,Grants & Subsidies,30203.43
2015,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,261889.96
2017,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,1563658.04
2019,WORKING IN NEIGHBORHOODS,Grants & Subsidies,33081.66
2019,PRICE HILL WILL,Grants & Subsidies,4400.36
2022,OHIO JUSTICE AND POLICY CENTER,Grants & Subsidies,39999.63
2022,TALBERT SERVICES INC.,Grants & Subsidies,282043.82
2020,FREESTORE/FOODBANK INC,Grants & Subsidies,164999.72
2015,SMARTMONEY COMMUNITY SERV,Grants & Subsidies,33106.35
2021,CINTI YOUTH COLLABORATIVE,Grants & Subsidies,12967.37
2019,OVER THE RHINE COMMUNITY HOUSING,Grants & Subsidies,182636.5
2021,CARTHAGE CIVIC LEAGUE INC,Grants & Subsidies,8850
2019,"STRATEGIES TO END HOMELESSNESS, INC.",Grants & Subsidies,1366003.87
2020,COLLEGE HILL COM URB REDE CORP,Grants & Subsidies,45300
2021,COLLEGE HILL COM URB REDE CORP,Grants & Subsidies,16728
2022,CATHOLIC CHARITIES OF SOUTHWESTERN OHIO,Grants & Subsidies,97846.32
2021,HOUSING OPPORTUNITIES MADE,Grants & Subsidies,195812.82
2019,MERCY NEIGHBORHOOD MINISTRIES INC,Grants & Subsidies,87000
2020,HOMEBASE,Grants & Subsidies,322958.63
2015,032811 HOLDINGS LLC,Grants & Subsidies,1565000
2019,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,1571426.08
2022,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,181666.48
2015,LASHAWNA WILLIS,Grants & Subsidies,1000
2022,CINCY SMILES FOUNDATION,Grants & Subsidies,7326.7
2022,SALVATION ARMY (THE),Grants & Subsidies,7986.3
2018,COMMUNITY DEVELOPMENT CORPORATIONS ASSOCIATION OF GREATER CI,Grants & Subsidies,348156.9
2020,MILL CREEK ALLIANCE,Grants & Subsidies,7693.11
2014,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,1955665.3
2021,EASTER SEALS TRISTATE LLC,Grants & Subsidies,66666.66
2021,CATHOLIC CHARITIES OF SOUTHWESTERN OHIO,Grants & Subsidies,8433.41
2022,EASTER SEALS TRISTATE LLC,Grants & Subsidies,13333.34
2021,ART OPPORTUNITIES INC,Grants & Subsidies,41814
2019,LEGAL AID SOCIETY OF CINTI,Grants & Subsidies,283544.05
2015,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,1606725.49
2022,GLAD HOUSE INC,Grants & Subsidies,18094.26
2020,CINCINNATI CENTER CITY DEVELOPMENT CORPORATION,Grants & Subsidies,4008595
2015,COMMUNITY DEVELOPMENT CORPORATIONS ASSOCIATION OF GREATER CI,Grants & Subsidies,461178.97
2019,CINTI HABITAT FOR HUMANITY,Grants & Subsidies,52250
2020,EASTER SEALS TRISTATE LLC,Grants & Subsidies,58750
2016,ART OPPORTUNITIES INC,Grants & Subsidies,160000
2018,GREATER CINCINNATI MICROENTERPRISE INITIATIVE INC,Grants & Subsidies,80077.85
2022,CENTER FOR RESPITE CARE INC,Grants & Subsidies,13333.34
2017,COMMUNITY DEVELOPMENT CORPORATIONS ASSOCIATION OF GREATER CI,Grants & Subsidies,364796.44
2014,"STRATEGIES TO END HOMELESSNESS, INC.",Grants & Subsidies,6010522.26
2017,TALBERT SERVICES INC.,Grants & Subsidies,26917.81
2015,ART OPPORTUNITIES INC,Grants & Subsidies,120000
2022,PEOPLE WORKING COOPERATIVELY,Grants & Subsidies,725598.39
2022,POWER INSPIRES PROGRESS,Grants & Subsidies,14263.14
2019,ROSELAWN COMMUNITY URBAN REDEVELOPMENT CORPORATION,Grants & Subsidies,10764
2022,SANTA MARIA COMMUNITY SERVICES,Grants & Subsidies,170868.69
2019,"CINCINNATI WORKS, INC.",Grants & Subsidies,309796.54
