CRA_ID,ADDRESS,APPLICATION_DATE,CONSTRUCTION_TYPE,HCA_ABATED_VALUE,ABATEMENT_QUALIFYING_TERM,INCENTIVE_AMOUNT,LEED_CLASS,LEED_DATE,OWNERSHIP_TYPE,CITY_DETERMINATION,LONGITUDE,LATITUDE,DCED_NEIGHBORHOOD,NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,CONSTRUCTION_VALUE_IMPROVEMENT
ACCESS1,3752 BONFIELD DR,03/10/2012 12:00:00 AM,REHAB,,,,,,OWNER OCCUPIED,,-84.5037422564608,39.1521688448426,,AVONDALE,AVONDALE,
ACCESS10,6712 BUCKINGHAM PL,03/02/2012 12:00:00 AM,REHAB,,,,,,OWNER OCCUPIED,,-84.3817960906008,39.1559745615847,,MADISONVILLE,MADISONVILLE,
ACCESS100,438 STRAFER ST,06/10/2012 12:00:00 AM,NEW,143500,15,162096,SILVER,02/01/2012 12:00:00 AM,OWNER OCCUPIED,,-84.4349651160819,39.1162940559163,,UNIDENTIFIED,COLUMBIA TUSCULUM,
ACCESS101,472 STRAFER ST,05/19/2014 12:00:00 AM,NEW,140000,15,169331,SILVER,04/01/2014 12:00:00 AM,OWNER OCCUPIED,,-84.433687327853,39.1169882734998,,COLUMBIA TUSCULUM,COLUMBIA TUSCULUM,
ACCESS102,458 STRAFER ST,11/27/2013 12:00:00 AM,NEW,136741.5,15,150019,CERTIFIED,09/01/2013 12:00:00 AM,OWNER OCCUPIED,,-84.4342134789987,39.116702420806,,COLUMBIA TUSCULUM,COLUMBIA TUSCULUM,
ACCESS103,3709 RAWSON FARM LN,09/17/2013 12:00:00 AM,NEW,136503.5,15,156623,CERTIFIED,11/01/2013 12:00:00 AM,OWNER OCCUPIED,,-84.5206730650701,39.1505634869061,,CLIFTON,CLIFTON,
ACCESS104,330 BOAL ST,06/12/2013 12:00:00 AM,NEW,135621.5,15,181798,SILVER,03/01/2013 12:00:00 AM,OWNER OCCUPIED,,-84.5090889079629,39.1142040825813,,MT. AUBURN,MOUNT AUBURN,
ACCESS105,3086 VICTORIA AV,03/23/2012 12:00:00 AM,NEW,137623.5,15,332283,PLATINUM,02/01/2012 12:00:00 AM,OWNER OCCUPIED,,-84.42945986068231,39.1426140380977,,HYDE PARK,HYDE PARK,
ACCESS106,436 STRAFER ST,02/07/2012 12:00:00 AM,NEW,134750,15,138212,SILVER,08/01/2011 12:00:00 AM,OWNER OCCUPIED,,-84.4350402793201,39.1162532195186,,COLUMBIA TUSCULUM,COLUMBIA TUSCULUM,
ACCESS107,434 STRAFER ST,02/15/2012 12:00:00 AM,NEW,134330,15,180338,SILVER,08/01/2011 12:00:00 AM,,,-84.4351154424588,39.1162123826218,,COLUMBIA TUSCULUM,COLUMBIA TUSCULUM,
