Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,CIN,,WSN,W,8,2,,1-0,1,Tied,Montas,Gray,,2:18,D,44030,.95,+,
2,Saturday Mar 30,boxscore,CIN,,WSN,L,6,7,,1-1,3,1.5,Harvey,Díaz,Finnegan,2:55,D,39674,.96,-,
3,Sunday Mar 31,boxscore,CIN,,WSN,W-wo,6,5,,2-1,3,1.5,Sims,Finnegan,,2:50,D,13590,.90,+,
4,Monday Apr 1,boxscore,CIN,@,PHI,W,6,3,10,3-1,3,1.5,Díaz,Brogdon,,3:04,N,33754,.94,++,
5,Tuesday Apr 2,boxscore,CIN,@,PHI,L,4,9,,3-2,3,2.0,Turnbull,Ashcraft,Pinto,2:44,N,28119,1.01,-,
6,Wednesday Apr 3,boxscore,CIN,@,PHI,W,4,1,,4-2,3,1.0,Montas,Wheeler,Díaz,2:34,D,28077,.95,+,
7,Friday Apr 5,boxscore,CIN,,NYM,L,2,3,,4-3,4,1.5,Smith,Cruz,Díaz,2:58,N,16620,.97,-,
8,Saturday Apr 6,boxscore,CIN,,NYM,W,9,6,,5-3,3,1.5,Pagán,Ramírez,,2:38,D,28307,.93,+,
9,Sunday Apr 7,boxscore,CIN,,NYM,L,1,3,,5-4,4,2.5,Manaea,Abbott,Díaz,2:38,D,26656,.98,-,
10,Monday Apr 8,boxscore,CIN,,MIL,W,10,8,,6-4,3,2.5,Ashcraft,Ashby,Díaz,2:48,N,10382,1.01,+,
11,Tuesday Apr 9,boxscore,CIN,,MIL,L,5,9,,6-5,4,2.5,Ross,Montas,,2:57,N,12623,1.05,-,
12,Wednesday Apr 10,boxscore,CIN,,MIL,L,2,7,,6-6,4,3.0,Wilson,Greene,,2:12,N,10388,1.01,--,
13,Friday Apr 12,boxscore,CIN,@,CHW,W,11,1,,7-6,3,2.5,Abbott,Flexen,,2:43,N,11337,.88,+,
14,Saturday Apr 13,boxscore,CIN,@,CHW,W,5,0,,8-6,3,2.5,Lodolo,Crochet,,2:29,D,22598,.88,++,
15,Sunday Apr 14,boxscore,CIN,@,CHW,W,11,4,,9-6,3,1.5,Ashcraft,Soroka,,2:57,D,17589,.94,+++,
16,Monday Apr 15,boxscore,CIN,@,SEA,L,3,9,,9-7,4,1.5,Kirby,Montas,,2:30,N,16008,.94,-,
17,Tuesday Apr 16,boxscore,CIN,@,SEA,L,1,3,,9-8,4,1.5,Gilbert,Pagán,Saucedo,2:51,N,17291,.93,--,
18,Wednesday Apr 17,boxscore,CIN,@,SEA,L,1,5,,9-9,4,2.5,Miller,Abbott,,2:20,D,17225,.92,---,
19,Friday Apr 19,boxscore,CIN,,LAA,W,7,1,,10-9,4,2.5,Lodolo,Anderson,,2:12,N,22539,.87,+,
20,Saturday Apr 20,boxscore,CIN,,LAA,W,7,5,,11-9,3,2.5,Ashcraft,Sandoval,Díaz,2:50,N,27343,.93,++,
21,Sunday Apr 21,boxscore,CIN,,LAA,W,3,0,,12-9,3,2.5,Pagán,Soriano,Díaz,2:36,D,25935,.95,+++,
22,Monday Apr 22,boxscore,CIN,,PHI,L,0,7,,12-10,3,2.5,Suárez,Greene,,2:02,N,11263,1.05,-,
23,Tuesday Apr 23,boxscore,CIN,,PHI,W,8,1,,13-10,3,1.5,Cruz,Sánchez,,2:35,N,13653,1.02,+,
24,Wednesday Apr 24,boxscore,CIN,,PHI,W,7,4,,14-10,3,1.5,Wilson,Domínguez,Díaz,3:04,N,14515,1.03,++,
