FISCAL_YEAR,RECORD_DATE,AMOUNT_EXPENDED
2020,02/01/2020 12:00:00 AM,213173.58
2015,04/02/2015 12:00:00 AM,1882470.35
2021,05/20/2021 12:00:00 AM,2633684.26
2017,06/15/2017 12:00:00 AM,2154971.31
2024,06/11/2024 12:00:00 AM,2893058.45
2020,10/23/2019 12:00:00 AM,4006616.5
2022,06/13/2022 12:00:00 AM,2232276.43
2018,01/27/2018 12:00:00 AM,659841.15
2024,07/11/2023 12:00:00 AM,12628000.67
2016,12/08/2015 12:00:00 AM,5850014.19
2015,11/09/2014 12:00:00 AM,4946845.13
2023,06/29/2023 12:00:00 AM,351642.22
2016,10/22/2015 12:00:00 AM,3688765.15
2016,06/03/2016 12:00:00 AM,1759637.65
2023,10/24/2022 12:00:00 AM,2336387.2
2024,10/28/2023 12:00:00 AM,13569.78
2018,11/04/2017 12:00:00 AM,186986.89
2021,02/19/2021 12:00:00 AM,941583.26
2015,08/14/2014 12:00:00 AM,652772.01
2016,06/29/2016 12:00:00 AM,-619269.4
2021,08/11/2020 12:00:00 AM,2933268.23
2021,10/07/2020 12:00:00 AM,1328886.05
2022,02/17/2022 12:00:00 AM,1471181.41
2020,12/04/2019 12:00:00 AM,1734756.35
2024,04/24/2024 12:00:00 AM,9397235.36
2015,12/21/2014 12:00:00 AM,1630011.76
2017,03/02/2017 12:00:00 AM,1225374.12
2022,12/24/2021 12:00:00 AM,516.55
2018,03/09/2018 12:00:00 AM,718679.93
2021,05/24/2021 12:00:00 AM,1213521.81
2017,08/08/2016 12:00:00 AM,1509555.74
2022,05/31/2022 12:00:00 AM,4206944.13
2021,04/23/2021 12:00:00 AM,2535133.17
2017,02/17/2017 12:00:00 AM,2270695.27
2019,09/15/2018 12:00:00 AM,585665.49
2023,12/31/2022 12:00:00 AM,172457.63
2022,10/21/2021 12:00:00 AM,4600518.09
2021,12/22/2020 12:00:00 AM,31201328.78
2019,02/23/2019 12:00:00 AM,836622.9
2022,06/10/2022 12:00:00 AM,1473194.14
2018,03/26/2018 12:00:00 AM,1718576.07
2023,04/10/2023 12:00:00 AM,7780085.57
2018,05/01/2018 12:00:00 AM,16512272.15
2017,03/19/2017 12:00:00 AM,77345.92
2021,06/27/2021 12:00:00 AM,-290.91
2020,04/03/2020 12:00:00 AM,2380759.18
2018,01/31/2018 12:00:00 AM,807005.78
2021,01/05/2021 12:00:00 AM,17416249.38
2020,06/07/2020 12:00:00 AM,130927.34
2020,11/22/2019 12:00:00 AM,4128266.8
2018,01/19/2018 12:00:00 AM,4150539.14
2020,03/03/2020 12:00:00 AM,18059070.34
